"Service","Status","Timestamp"
"Exchange Online","serviceDegradation","2026-06-06 15:49"
"Microsoft Entra","serviceOperational","2026-06-06 15:49"
"Microsoft 365 suite","serviceDegradation","2026-06-06 15:49"
"SharePoint Online","serviceOperational","2026-06-06 15:49"
"Basic Mobility and Security","serviceOperational","2026-06-06 15:49"
"Planner","serviceOperational","2026-06-06 15:49"
"Sway","serviceOperational","2026-06-06 15:49"
"Microsoft OneDrive","serviceOperational","2026-06-06 15:49"
"Microsoft Teams","serviceOperational","2026-06-06 15:49"
"Microsoft Bookings","serviceOperational","2026-06-06 15:49"
"Microsoft 365 for the web","serviceOperational","2026-06-06 15:49"
"Microsoft 365 apps","serviceOperational","2026-06-06 15:49"
"Power Apps in Microsoft 365","serviceOperational","2026-06-06 15:49"
"Microsoft Power Automate in Microsoft 365","serviceOperational","2026-06-06 15:49"
"Microsoft Forms","serviceOperational","2026-06-06 15:49"
"Project for the web","serviceOperational","2026-06-06 15:49"
"Microsoft Stream","serviceOperational","2026-06-06 15:49"
"Microsoft Viva","serviceOperational","2026-06-06 15:49"
"Microsoft Purview","serviceOperational","2026-06-06 15:49"
"Microsoft Clipchamp ","serviceOperational","2026-06-06 15:49"
"Microsoft 365 Copilot Chat","serviceOperational","2026-06-06 15:49"
"Exchange Online","serviceDegradation","2026-06-06 16:05"
"Microsoft Entra","serviceOperational","2026-06-06 16:05"
"Microsoft 365 suite","serviceDegradation","2026-06-06 16:05"
"SharePoint Online","serviceOperational","2026-06-06 16:05"
"Basic Mobility and Security","serviceOperational","2026-06-06 16:05"
"Planner","serviceOperational","2026-06-06 16:05"
"Sway","serviceOperational","2026-06-06 16:05"
"Microsoft OneDrive","serviceOperational","2026-06-06 16:05"
"Microsoft Teams","serviceOperational","2026-06-06 16:05"
"Microsoft Bookings","serviceOperational","2026-06-06 16:05"
"Microsoft 365 for the web","serviceOperational","2026-06-06 16:05"
"Microsoft 365 apps","serviceOperational","2026-06-06 16:05"
"Power Apps in Microsoft 365","serviceOperational","2026-06-06 16:05"
"Microsoft Power Automate in Microsoft 365","serviceOperational","2026-06-06 16:05"
"Microsoft Forms","serviceOperational","2026-06-06 16:05"
"Project for the web","serviceOperational","2026-06-06 16:05"
"Microsoft Stream","serviceOperational","2026-06-06 16:05"
"Microsoft Viva","serviceOperational","2026-06-06 16:05"
"Microsoft Purview","serviceOperational","2026-06-06 16:05"
"Microsoft Clipchamp ","serviceOperational","2026-06-06 16:05"
"Microsoft 365 Copilot Chat","serviceOperational","2026-06-06 16:05"
"Exchange Online","serviceDegradation","2026-06-06 16:17"
"Microsoft Entra","serviceOperational","2026-06-06 16:17"
"Microsoft 365 suite","serviceDegradation","2026-06-06 16:17"
"SharePoint Online","serviceOperational","2026-06-06 16:17"
"Basic Mobility and Security","serviceOperational","2026-06-06 16:17"
"Planner","serviceOperational","2026-06-06 16:17"
"Sway","serviceOperational","2026-06-06 16:17"
"Microsoft OneDrive","serviceOperational","2026-06-06 16:17"
"Microsoft Teams","serviceOperational","2026-06-06 16:17"
"Microsoft Bookings","serviceOperational","2026-06-06 16:17"
"Microsoft 365 for the web","serviceOperational","2026-06-06 16:17"
"Microsoft 365 apps","serviceOperational","2026-06-06 16:17"
"Power Apps in Microsoft 365","serviceOperational","2026-06-06 16:17"
"Microsoft Power Automate in Microsoft 365","serviceOperational","2026-06-06 16:17"
"Microsoft Forms","serviceOperational","2026-06-06 16:17"
"Project for the web","serviceOperational","2026-06-06 16:17"
"Microsoft Stream","serviceOperational","2026-06-06 16:17"
"Microsoft Viva","serviceOperational","2026-06-06 16:17"
"Microsoft Purview","serviceOperational","2026-06-06 16:17"
"Microsoft Clipchamp ","serviceOperational","2026-06-06 16:17"
"Microsoft 365 Copilot Chat","serviceOperational","2026-06-06 16:17"
"Exchange Online","serviceDegradation","2026-06-06 18:24"
"Microsoft Entra","serviceOperational","2026-06-06 18:24"
"Microsoft 365 suite","serviceDegradation","2026-06-06 18:24"
"SharePoint Online","serviceOperational","2026-06-06 18:24"
"Basic Mobility and Security","serviceOperational","2026-06-06 18:24"
"Planner","serviceOperational","2026-06-06 18:24"
"Sway","serviceOperational","2026-06-06 18:24"
"Microsoft OneDrive","serviceOperational","2026-06-06 18:24"
"Microsoft Teams","serviceOperational","2026-06-06 18:24"
"Microsoft Bookings","serviceOperational","2026-06-06 18:24"
"Microsoft 365 for the web","serviceOperational","2026-06-06 18:24"
"Microsoft 365 apps","serviceOperational","2026-06-06 18:24"
"Power Apps in Microsoft 365","serviceOperational","2026-06-06 18:24"
"Microsoft Power Automate in Microsoft 365","serviceOperational","2026-06-06 18:24"
"Microsoft Forms","serviceOperational","2026-06-06 18:24"
"Project for the web","serviceOperational","2026-06-06 18:24"
"Microsoft Stream","serviceOperational","2026-06-06 18:24"
"Microsoft Viva","serviceOperational","2026-06-06 18:24"
"Microsoft Purview","serviceOperational","2026-06-06 18:24"
"Microsoft Clipchamp ","serviceOperational","2026-06-06 18:24"
"Microsoft 365 Copilot Chat","serviceOperational","2026-06-06 18:24"
